SYMBOL,Industry,Sector,fiftyTwoWeekHigh,marketCap,dividend Rate,trailing PE,forward PE,priceToSales,Profit Margins,Operating Margins,Revenue Growth,Earnings Growth,ROA,ROE,Volume,DebtToEquity
PATANJALI,Packaged Foods,Consumer Defensive,1992.2,645600378880,14.0,60.245544,,2.052008,0.031600002,0.04816,0.042,0.213,0.06081,0.0945,708319,10.306
POONAWALLA,Credit Services,Financial Services,519.7,278274048000,4.0,55.836464,,18.2464,0.27371,2.31485,,,0.01789,0.05252,12656017,226.804
THERMAX,Conglomerates,Industrials,5839.95,611732160512,12.0,86.95405,67.71163,6.3889074,0.07334,0.04812,0.13,0.966,,,290802,28.772
J&KBANK,Banks - Regional,Financial Services,152.5,107508203520,2.15,5.2124934,,1.8991079,0.32830003,0.39211,0.089,0.184,0.01258,0.16222,12417033,
LAURUSLABS,Drug Manufacturers - Specialty & Generic,Healthcare,518.0,251140243456,0.8,192.47932,19.931536,4.969925,0.025940001,0.05787,-0.001,-0.456,0.026819998,0.032,19880245,67.3
BIKAJI,Packaged Foods,Consumer Defensive,1007.95,216868372480,1.0,74.6038,75.31739,8.565341,0.11476,0.12224,0.185,0.127,0.14041,0.24414,1898548,16.545
PTCIL,Metal Fabrication,Industrials,15702.1,182954098688,,476.2696,,78.77851,0.15429,0.12576,-0.345,-0.596,,,21003,28.174
KANSAINER,Specialty Chemicals,Basic Materials,357.3,225664008192,2.5,33.351254,,2.9014232,0.08721,0.13196,-0.011,-0.688,,,1211231,4.937
DEEPAKFERT,Chemicals,Basic Materials,1171.0,143116009472,8.5,27.102556,,1.6555903,0.061079998,0.16173,-0.014,0.776,,,1738660,76.181
LALPATHLAB,Diagnostics & Research,Healthcare,3653.95,271188033536,30.0,64.93481,106.79544,11.55742,0.17108,0.25326002,0.098,0.18,0.12831001,0.2117,323784,9.753
CGCL,Credit Services,Financial Services,820.85,151013523456,0.15,52.302856,12.891549,10.56097,0.20387,0.25438,0.331,0.193,,,232306,289.487
KPRMILL,Textile Manufacturing,Consumer Cyclical,1053.0,309512339456,5.0,38.319187,26.160534,5.1086364,0.133,0.16384001,-0.001,0.003,,,161533,26.58
METROBRAND,Apparel Retail,Consumer Cyclical,1441.2,320954171392,4.5,77.544495,,13.485413,0.17406,0.15783,0.054,0.045,0.08484,0.22593,148841,55.797
ASTERDM,Medical Care Facilities,Healthcare,558.0,223486918656,4.0,108.65617,44.038273,5.5641236,1.34373,0.14494,-0.672,,0.025510002,0.06988,6626367,53.874
GRINDWELL,Building Products & Equipment,Industrials,2960.0,252264660992,17.0,64.09488,,9.260762,0.13944,0.1583,0.056,-0.039,,,34335,3.996
RAMCOCEM,Building Materials,Basic Materials,1058.2,201568894976,2.5,60.243645,19.075357,2.1854455,0.03499,0.07284,-0.068,-0.5,,,410942,68.278
KAJARIACER,Building Products & Equipment,Industrials,1578.7,200905801728,11.0,51.54732,,4.2877927,0.08125,0.10033,0.051,-0.221,0.090179995,0.14641,384468,9.445
